_id,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,siteID,spaceID,stationID,userID,duracion_horas
5e3a1a9ef9af8b4c06982893,2020-01-20 02:07:23+00:00,2020-01-20 02:38:55+00:00,2020-01-20 02:39:53+00:00,0.884,0002,CA-305,2-39-131-30,,0.5255555555555556
5e3a1a9ef9af8b4c06982894,2020-01-20 04:24:19+00:00,2020-01-21 01:24:06+00:00,2020-01-20 14:53:01+00:00,0.989,0002,CA-305,2-39-131-30,,20.996388888888887
5e3b6c1ef9af8b51c8775738,2020-01-20 17:11:24+00:00,2020-01-20 18:33:18+00:00,2020-01-20 18:27:58+00:00,7.868,0002,CA-303,2-39-139-28,000000818,1.365
5e3b6c1ef9af8b51c8775739,2020-01-20 17:12:54+00:00,2020-01-20 21:03:37+00:00,2020-01-20 17:43:21+00:00,0.837,0002,CA-327,2-39-79-379,,3.8452777777777776
5e3b6c1ef9af8b51c877573a,2020-01-20 17:29:13+00:00,2020-01-21 00:31:47+00:00,2020-01-21 00:31:43+00:00,47.603,0002,CA-304,2-39-138-29,000003424,7.042777777777777
5e3b6c1ef9af8b51c877573b,2020-01-20 17:49:24+00:00,2020-01-21 01:21:24+00:00,2020-01-20 18:19:32+00:00,0.823,0002,CA-212,2-39-83-386,,7.533333333333333
5e3b6c1ef9af8b51c877573c,2020-01-20 18:01:49+00:00,2020-01-20 19:15:58+00:00,2020-01-20 18:51:24+00:00,4.279,0002,CA-307,2-39-129-17,000000798,1.2358333333333333
5e3b6c1ef9af8b51c877573d,2020-01-20 18:37:18+00:00,2020-01-21 00:48:00+00:00,2020-01-20 19:07:58+00:00,0.846,0002,CA-309,2-39-127-19,,6.178333333333334
5e3b6c1ef9af8b51c877573e,2020-01-20 18:48:48+00:00,2020-01-20 20:45:11+00:00,2020-01-20 19:19:16+00:00,0.892,0002,CA-303,2-39-139-28,,1.9397222222222221
5e3b6c1ef9af8b51c877573f,2020-01-21 00:31:02+00:00,2020-01-21 02:18:29+00:00,2020-01-21 01:37:57+00:00,3.287,0002,CA-307,2-39-129-17,000001920,1.7908333333333333
5e3b6c1ef9af8b51c8775740,2020-01-21 01:14:58+00:00,2020-01-21 03:42:12+00:00,2020-01-21 02:28:42+00:00,7.32,0002,CA-311,2-39-125-21,000001099,2.453888888888889
5e3b6c1ef9af8b51c8775741,2020-01-21 01:30:05+00:00,2020-01-21 02:39:03+00:00,2020-01-21 02:39:50+00:00,0.848,0002,CA-303,2-39-139-28,,1.1494444444444445
5e3b6c1ef9af8b51c8775742,2020-01-21 02:47:04+00:00,2020-01-21 04:32:52+00:00,2020-01-21 04:32:48+00:00,12.002,0002,CA-303,2-39-139-28,000000675,1.7633333333333334
5e3cbdbdf9af8b0661a412f8,2020-01-21 14:51:31+00:00,2020-01-21 22:44:56+00:00,2020-01-21 16:27:20+00:00,10.289,0002,CA-492,2-39-79-383,000001470,7.8902777777777775
5e3cbdbdf9af8b0661a412f9,2020-01-21 14:59:38+00:00,2020-01-24 19:55:28+00:00,2020-01-24 19:56:26+00:00,14.72,0002,CA-496,2-39-78-362,000004913,76.93055555555556
5e3cbdbdf9af8b0661a412fa,2020-01-21 15:00:37+00:00,2020-01-21 22:03:42+00:00,2020-01-21 17:57:40+00:00,17.616,0002,CA-319,2-39-95-27,000000431,7.051388888888889
5e3cbdbdf9af8b0661a412fb,2020-01-21 15:56:21+00:00,2020-01-22 01:39:38+00:00,2020-01-21 17:49:14+00:00,4.775,0002,CA-491,2-39-79-382,000004701,9.721388888888889
5e3cbdbdf9af8b0661a412fc,2020-01-21 16:01:21+00:00,2020-01-21 16:26:50+00:00,2020-01-21 16:26:45+00:00,0.671,0002,CA-489,2-39-79-380,,0.4247222222222222
5e3cbdbdf9af8b0661a412fd,2020-01-21 16:16:30+00:00,2020-01-21 16:25:59+00:00,2020-01-21 16:25:57+00:00,1.013,0002,CA-323,2-39-78-366,000003853,0.15805555555555556
5e3cbdbdf9af8b0661a412fe,2020-01-21 16:19:59+00:00,2020-01-22 01:26:17+00:00,2020-01-21 20:25:22+00:00,13.565,0002,CA-326,2-39-79-378,000002461,9.105
5e3cbdbdf9af8b0661a412ff,2020-01-21 16:33:48+00:00,2020-01-22 01:15:21+00:00,2020-01-21 17:00:55+00:00,1.604,0002,CA-327,2-39-79-379,000000751,8.6925
5e3cbdbdf9af8b0661a41300,2020-01-21 16:43:44+00:00,2020-01-22 01:50:23+00:00,2020-01-21 23:06:42+00:00,0.858,0002,CA-323,2-39-78-366,,9.110833333333334
