Version,Escenario,Semilla,E_imp,E_imp_con_excedente,E_imp_en_deficit,imp_a_EV,imp_a_EL,imp_a_Comp,imp_a_Bateria,E_exp,Coste_Import,Ingreso_Export,p_imp,p_exp,Coste_imp_EL,p_imp_EL
A,E1_lab_soleado,3,270.240968318288,7.20234678373563,263.038621534552,50.1959405377976,211.318436582982,6.94486455694866,1.78172664055955,2783.43302163139,29.8501297897837,211.154401362026,110.457455712734,75.8611397224379,23.3630403488815,110.558457305769
A,E1_lab_soleado,4,155.913076889113,17.2443334607831,138.66874342833,18.6619935053919,132.148859762106,3.4274794619669,1.67474415963148,2421.14363937368,19.2656679338242,179.697249082187,123.566722677958,74.2199868524416,16.3098008751792,123.419913758923
A,E1_lab_soleado,5,119.983263920629,12.7780263744594,107.20523754617,23.490698295809,91.2760241053752,2.75400845721201,2.46253306221602,2763.88340137396,14.9689468311573,208.973466094047,124.758623344832,75.6086403609372,11.4059070479076,124.960603397227
A,E1_lab_soleado,6,259.688909366616,14.4494118580431,245.239497508573,50.0653892798803,201.264601590358,6.75412828225269,1.60479021412549,2738.60712819551,30.1815271355931,207.434639041603,116.221856409679,75.7445771998278,23.3785294745937,116.158178287988
A,E1_lab_soleado,7,27.2684701500806,26.3473389387049,0.92113121137576,8.97787729656883,15.2163608166461,0.708844051079652,2.36538798578608,2911.99543619112,3.08845102801013,222.003489346773,113.260883761057,76.2375814836965,1.75904361564062,115.602123059299
A,E1_lab_soleado,8,29.044383847211,14.7846313857386,14.2597524614724,9.43489467716326,17.1820704104278,0.597182243582058,1.83023651603778,2985.40508753437,3.35132560405009,225.705000916159,115.386355643826,75.6028057494093,2.02373313722076,117.781681071017
A,E1_lab_soleado,9,3.35723203089284,3.35699696432059,0.00023506657224905,0.609201308905857,1.61666891380472,0,1.13136180818226,2384.26867407852,0.336040506538812,184.181288552858,100.094513410633,77.2485460867959,0.157647525292989,97.513797628468
A,E2_lab_nublado,10,627.500339535616,94.2851411757927,533.215198359823,135.829960614441,469.278807616106,13.0280800455608,9.36349125949102,53.2049546209228,92.3264684312316,7.05079515546785,147.133734620061,132.521401544343,70.4208544324404,150.0618678908
A,E2_lab_nublado,1,549.479213955099,35.0997754777145,514.379438477384,115.678011088852,417.324278570949,13.4690250015733,3.00789929369121,71.5725479149695,86.6888576245823,9.18004200533808,157.765490346039,128.262053996516,65.8622945576991,157.820423923651
A,E2_lab_nublado,2,263.429787003797,19.6233628436753,243.806424160121,51.0010817255298,200.626922442471,8.9563401207578,2.84544271502107,65.2316188088375,37.5229781698836,8.8513925299233,142.440149220266,135.691750282366,28.7722259661756,143.411590109129
A,E2_lab_nublado,3,722.729586557346,26.2587217054368,696.470864851909,164.414329640578,539.260444516915,13.4887350476303,5.56607735220608,66.9383917726261,101.646014818339,8.69516585670218,140.641834385832,129.898039472439,75.8629895406849,140.679685135529
A,E2_lab_nublado,4,635.152345293614,101.951903730014,533.2004415636,151.487263395917,465.814705754814,10.2036098952979,7.64676624755093,56.9328916723285,83.6208861728508,7.48354587709023,131.654849096393,131.445033921007,62.5303696704494,134.238719598009
A,E2_lab_nublado,5,32.6283598267746,32.6282369861896,0.000122840584974541,5.25514386371484,24.2287727203715,0.536845966352574,2.60759727633564,68.7559516817468,4.7111714805813,8.96783677014,144.388853917056,130.42997079947,3.71378205754822,153.279825619301
A,E2_lab_nublado,6,517.821120188181,22.4168373177864,495.404282870394,100.222088095625,410.944493449501,5.14432794845894,1.51021069457914,69.7093288444571,83.3515482710468,9.45285819372899,160.965910855,135.603919165844,66.6555278979951,162.200805608765
A,E2_lab_nublado,7,589.062269275226,14.5910418416307,574.471227433595,125.610795959377,447.230302111279,14.6434706465401,1.57770055799626,67.5318230731196,88.0959345361995,8.92065483260315,149.552838691556,132.095572526517,67.2988512258764,150.479184679958
A,E2_lab_nublado,8,618.598199656823,23.3608263461858,595.237373310637,179.773091961465,420.326198659214,14.6352376717103,3.86367136443353,70.3556858682579,78.7502221727364,9.55313278125688,127.304318403164,135.783379315572,53.6947620190802,127.745456244126
A,E2_lab_nublado,9,62.6158018832335,15.7326047972982,46.8831970859353,16.2038395955504,44.9631383169959,0.152804819915797,1.29601915077133,67.5341710965083,6.96984588418237,9.02329967967442,111.311293228821,133.610874808545,4.99945167100961,111.190007151254
A,E3_finde_soleado,10,198.017389005304,22.8006242381038,175.216764767201,44.5353944978538,141.266596474656,4.97722553608276,7.23817249669649,2820.71470535196,23.4169409085364,18.7619077630391,118.256992611437,6.65147302116045,16.7573717332918,118.622322272046
A,E3_finde_soleado,1,2.48636118168808,2.48623331912788,0.000127862560200171,0.000127862560200171,0.904184232570437,0,1.58204908655744,3201.84493628282,0.0610280981242167,20.5074595020863,24.5451459641847,6.40488840346356,0.0223931944523264,24.7661855246762
A,E3_finde_soleado,2,98.6509164325234,39.4783751396744,59.172541292849,29.0357942872325,64.4962146198844,0.906113072394569,4.21279445299524,2603.52329662576,9.48212866782365,16.9945049969906,96.1179988055089,6.52750256508783,6.47086677209552,100.329403984905
A,E3_finde_soleado,3,209.524796907086,18.6107033679032,190.914093539183,32.9914765953445,171.060134520716,1.78526659763875,3.68791919336995,3327.61566144472,26.042555599798,15.1116642796051,124.293429628506,4.54128896395571,21.659424713241,126.618775168904
A,E3_finde_soleado,4,200.78012393243,25.5343203584332,175.245803573996,34.7731157386258,157.470341705281,5.24813903084401,3.28852745767909,3080.15225988951,23.0579856618695,6.86333764538004,114.84197344967,2.22824622495326,18.2941728581075,116.175355054138
A,E3_finde_soleado,5,322.848853344511,5.02099305252957,317.827860291981,75.1591824928871,238.076231140538,7.27263221464155,2.34080749642826,3501.6918416654,41.1404217435147,12.8024138241228,127.429356856392,3.65606524017659,30.5143978431431,128.17070270711
A,E3_finde_soleado,6,3.95821371984373,3.9581518251276,6.1894716134358e-05,0.133142126566238,1.13279824424861,0,2.69227334902889,3018.10351764994,0.1030375852006,25.610851953081,26.031334458784,8.48574338266003,0.0299048233667737,26.3990728433816
A,E3_finde_soleado,7,3.30034483909274,3.30019004324578,0.000154795846962533,0.000154795846962533,0.959385812081214,0,2.34080423116456,2906.86661495082,0.0792030322274524,21.2596172350833,23.9984111021638,7.31358540007966,0.0237676441269276,24.7738123991723
A,E3_finde_soleado,8,225.740734979137,3.74077138572379,221.999963593413,87.751201946231,131.447777110841,4.18328078649798,2.35847513556767,3090.98146477857,27.134114235965,20.5135525875088,120.20034504837,6.63658220576818,15.9063310369703,121.008748771443
A,E3_finde_soleado,9,114.109564065908,9.32096113631248,104.788602929595,24.6346956253348,82.8943583724935,4.23908256450764,2.3414275035552,2283.29800641302,13.7141665740351,9.14590809210313,120.18419916243,4.0055691663617,10.1120215220881,121.986848328674
A,E4_volatilidad,10,3.3934578264632,3.39333253963888,0.000125286824319382,0.000125286824319382,0.907436959330649,0,2.48589558030823,1737.35777124521,0.197796862235341,72.0948099615522,58.2877030894158,41.4968126627596,0.0539025213506414,59.4008440987476
A,E4_volatilidad,1,20.1520150162824,19.8133001412218,0.33871487506054,4.037141817019,13.9034431945595,0.565253654747403,1.64617634995649,1916.07055870521,2.23947371488837,64.6513613058161,111.129021741941,33.7416391124472,1.6568849353794,119.170835036586
A,E4_volatilidad,2,4.48254214123178,3.94090701129557,0.541635129936217,0.426518655907355,2.13605728417273,0.180856839583912,1.73910936156779,2024.55473742593,0.348063811804491,74.2605922305194,77.6487539521144,36.6799626889497,0.174882527052919,81.8716465839767
A,E4_volatilidad,3,462.948629883733,47.395065437153,415.55356444658,101.179429396775,348.993723214089,9.31905848434469,3.45641878852073,1854.49285239809,52.6707166317462,68.9310834737456,113.772270251614,37.1697757608552,40.3951718323383,115.74755975642
A,E4_volatilidad,4,131.040565944075,28.9865911434687,102.053974800606,22.4972134571285,102.754276210156,3.67229555076547,2.1167807260077,1613.55492401158,28.6646223902468,56.6960084555263,218.746173627488,35.1373279036391,22.4891912440314,218.863798894713
A,E4_volatilidad,5,205.868767647842,6.22929723944699,199.639470408395,31.4954737645613,167.885491254138,4.80619905306876,1.68160357605657,1867.61038217841,42.5453428369123,68.250668911155,206.662444833255,36.5443828982929,33.9049043070595,201.952557387676
A,E4_volatilidad,6,379.470665497636,11.7134967730753,367.75716872456,80.3220587981483,286.965005847433,9.78503738238295,2.39856346966885,1827.72305879656,46.966990661027,69.3077354625405,123.769753320549,37.9202610203841,35.0360150497794,122.091594221794
A,E4_volatilidad,7,24.7794194293854,4.33723746909582,20.4421819602896,5.32078699617172,16.1708086094001,0.934344604709658,2.35347921910394,1973.92802827843,2.7096540064401,77.8241797528544,109.350988394295,39.4260472712013,1.83647703447657,113.567421322952
A,E4_volatilidad,8,194.460580678506,27.3834608276461,167.07711985086,65.3861288838126,123.118408624311,4.27289810979552,1.68314506057102,2031.90762505609,22.97599123165,76.7333255786316,118.152435580943,37.7641801391013,14.9354625344153,121.309743208183
A,E4_volatilidad,9,18.3062999934101,18.3060260580033,0.00027393540681669,0.662694533318472,15.0889755397144,0.733694426766423,1.82093549361087,1313.23492245819,2.2286984485565,47.6743419581431,121.744888336736,36.302980634191,1.97000988716752,130.559552037342
A_factor3,E1_lab_soleado,1,5430.0917619284,365.196563540847,5064.89519838755,1822.83084077026,3573.64113651766,0,33.6197846403717,5808.09212745996,514.522503962613,203.235267378798,94.75392433882,34.9917430575741,342.267678543591,95.7756152530508
A_factor3,E2_lab_nublado,1,5939.10629139545,396.742917108396,5542.36337428705,3420.97626713713,2463.77112143988,0,54.3589028184129,198.444956716976,639.286642826136,21.1749083329709,107.640209058446,106.704189833208,237.730038771517,96.4903097949224
A_factor3,E3_finde_soleado,1,3918.19958799425,296.987541016639,3621.21204697761,1370.78737867325,2520.16522962498,0.000466147692335196,27.2465135482238,6927.55489614,368.948459066232,293.577610402868,94.1627527593864,42.3782438110232,243.671068663721,96.688528910456
A_factor3,E4_volatilidad,1,8253.020965659,411.127398229617,7841.89356742938,2832.25260306879,5356.27438774194,0,64.4939748480994,1145.68458891023,572.158519316299,19.7180253459122,69.3271617383577,17.2106926607679,380.195387971308,70.9813128396486
A_factorB,E1_lab_soleado,1,2414.52751643346,106.006594866416,2308.52092156704,615.705234807102,1748.77905467694,44.2788995504629,5.76432739880113,12719.5051999543,288.550229720155,507.862317122071,119.505877550063,39.927835960466,211.408995845334,120.889483025281
A_factorB,E2_lab_nublado,1,3548.79817222943,280.485007806925,3268.3131644225,1381.57540380534,2104.91057039267,21.8052377671637,40.5069602642111,436.257525047534,413.155221282052,44.5788400580581,116.421166048589,102.184690231305,248.939882820852,118.266251460941
A_factorB,E3_finde_soleado,1,2927.32127086463,214.629474477948,2712.69179638668,761.658322596733,2096.26644129638,51.954949954674,17.4415570167164,14050.0720743846,344.358573362423,583.65174464411,117.636071171891,41.5408363426261,248.890999801794,118.730613102729
A_factorB,E4_volatilidad,1,4132.81363981178,181.86715971295,3950.94648009884,1174.19994150903,2869.97515570721,74.1759071143986,14.4626354809635,4736.17010525455,371.280261492122,96.7540751410366,89.8371651495593,20.4287584674572,267.068624781838,93.0560755032139
A_semana,E1_lab_soleado,1,762.216293392062,43.9179374801785,718.298355911883,162.569751029787,576.114484059687,19.122203652937,4.40985464958274,20968.6499712816,89.2981310350688,828.645088797327,117.155893686907,39.518285151034,67.0664852615718,116.411732593454
A_semana,E1_lab_soleado,2,752.810877425617,118.499941497893,634.310935927724,156.217614374288,578.860368522982,12.0643762107798,5.66851831748156,20322.5213111351,81.6071735293732,718.880070660203,108.403286903139,35.3735670714399,63.1343544463267,109.066638311101
A_semana,E1_lab_soleado,3,1327.71300331627,83.3884036779307,1244.32459963834,245.966268100841,1047.70998169864,29.2815249376587,4.75522857900563,20638.2138626434,146.285286687644,720.502037529904,110.178394217924,34.9110655759829,115.293977696822,110.043790467565
A_semana,E1_lab_soleado,4,697.716093909426,152.658663874346,545.05743003508,151.818178097234,520.682226714678,17.3853441534251,7.83034494405397,20515.7118965293,81.3107871104789,778.159870321389,116.53850014392,37.9299472641274,61.0417864146208,117.234242466414
A_semana,E1_lab_soleado,5,622.462166683629,22.8953703043173,599.566796379311,95.7343199757838,511.779086808262,13.10170865383,1.84705124572071,18843.0911946679,71.8109722635097,735.023171086239,115.366003119685,39.0075685296387,59.0524391104461,115.386581110084
A_semana,E2_lab_nublado,1,1951.87495029615,104.33793541269,1847.53701488346,371.32157564241,1529.72076104129,43.3583171265706,7.47429648572478,4060.24514371175,278.828259731503,312.139458589925,142.851497576316,76.8769981963643,218.669396198892,142.947263165888
A_semana,E2_lab_nublado,2,1446.81221732149,56.7348032505463,1390.07741407094,338.736629674762,1073.67771868975,28.7039047940437,5.69396416285255,3551.53715210509,220.500223507732,237.26308182336,152.404175792729,66.805744009387,161.805461935865,150.702076721237
A_semana,E2_lab_nublado,3,2499.35284008263,139.299877635859,2360.05296244677,556.544563911533,1870.50149861576,55.8889527726643,16.4178247825453,3291.70733141965,388.678645380056,242.706275691447,155.511714531353,73.7326412268772,291.712655757073,155.954248618861
A_semana,E2_lab_nublado,4,2815.99443900659,180.839021576101,2635.15541743049,630.398447207385,2106.61153472736,67.0827202092996,11.9017368623846,4562.94844340063,417.859529011662,312.355085518595,148.387909870685,68.4546602691407,315.706193295566,149.864456778656
A_semana,E2_lab_nublado,5,1830.0614931657,209.022156905339,1621.03933626036,420.037532421431,1359.02623762024,35.798113895199,15.1996092287086,2296.48809348453,268.370326128755,170.180037332027,146.645523732932,74.1044718737503,199.459765901499,146.766677772733
A_semana,E3_finde_soleado,1,911.758668486453,59.2855134589003,852.473155027553,169.926664109555,715.449357799007,22.4233436008318,3.9593029769751,21318.1967796533,106.937036023744,953.14011440695,117.286558077109,44.7101658859183,84.105961392313,117.556834002975
A_semana,E3_finde_soleado,2,598.559970534039,104.88534322051,493.674627313528,99.6008649733305,481.975794462268,11.2178345783974,5.76547651995818,21830.991961137,70.3002516244377,1018.68560026573,117.448969335045,46.6623597351493,56.7335563803265,117.710385110985
A_semana,E3_finde_soleado,3,1252.63721004147,38.1959746585073,1214.44123538296,286.155577670838,932.564890752166,28.5309807880092,5.38576083037004,21298.2796808615,141.416907954502,1019.1300696182,112.89534337705,47.8503468303117,105.193713256395,112.800422039854
A_semana,E3_finde_soleado,4,1069.48922942618,122.372814067419,947.116415358763,238.730486873168,801.804527786822,22.0368413433211,6.91737342280294,21957.8607393481,101.712931919544,1007.07282239777,95.1042134142074,45.8638860293487,76.2925173825455,95.1510184073563
A_semana,E3_finde_soleado,5,482.432924736865,32.0397933155184,450.393131421347,88.5280317293859,382.731585397388,8.94343520635993,2.22987240368359,19744.2795152464,54.9203013879415,900.897908958259,113.840284466274,45.6282999976064,43.6816792855057,114.131367653263
A_semana,E4_volatilidad,1,1222.91801844844,63.623480047658,1159.29453840078,224.646618649253,966.162369394175,26.9278556077575,5.18117479715398,11486.4843987598,116.166274406736,250.336461580249,94.9910563539824,21.7940017928616,92.1684458379204,95.3964351723966
A_semana,E4_volatilidad,2,1055.53797107481,63.8982570897552,991.639713985052,192.13712588695,834.773370971777,20.1904011563461,8.43707305966885,10824.095791571,114.940178204329,210.189227801975,108.892509179268,19.4186407668024,89.7042831013507,107.459444947225
A_semana,E4_volatilidad,3,2385.72348476972,88.2916328137746,2297.43185195595,501.69811916895,1823.82530829175,52.9118314966802,7.28822581217841,11778.754697173,217.505400478811,199.666357183691,91.1695768044155,16.9513978614065,167.819567777492,92.0151546392768
A_semana,E4_volatilidad,4,1613.51149589378,142.154758034609,1471.35673785918,365.017277152102,1197.31832847292,40.7945521602724,10.3813381083912,11541.3376602434,149.002237378189,226.668008516146,92.3465607511218,19.6396652787443,111.506599673087,93.1302870935793
A_semana,E4_volatilidad,5,1119.56243406142,63.3037928499147,1056.25864121151,265.399246991448,827.006382114838,24.3216745281277,2.83513042692551,9409.64747377703,90.558272368526,180.668680488861,80.8872016543186,19.2003665378912,65.4355996163274,79.1234518033515
A_semana_s6a10,E1_lab_soleado,10,877.453658672583,137.317225563024,740.136433109559,150.841778997418,696.840781062394,19.5717237804393,10.1993748322305,20514.5885926812,103.779810221443,793.305340418309,118.273836111689,38.6703022014942,82.0888887825391,117.801499300009
A_semana_s6a10,E1_lab_soleado,6,138.086534968263,34.9792000467151,103.107334921548,15.352341644865,117.757718334286,3.4650361248994,1.51143886419685,18905.8125658194,15.224793863923,689.492031764396,110.255455880779,36.4698438305136,12.9941887866994,110.346811831154
A_semana_s6a10,E1_lab_soleado,7,352.345349725876,93.6624365916306,258.682913134246,70.2823085780988,268.453081775793,10.1891511366277,3.42080823530579,19413.0035526519,45.0729248484886,690.21552328213,127.92257619848,35.554288207393,34.2870639806133,127.720880512183
A_semana_s6a10,E1_lab_soleado,8,1206.55085651556,55.4506854312616,1151.1001710843,240.929414990814,934.387639818786,25.6516014389124,5.58220026696466,20853.0295525428,138.983136354466,766.797587369967,115.190450202688,36.771519717933,107.389343955654,114.930184624961
A_semana_s6a10,E1_lab_soleado,9,1359.96719251432,148.845388707348,1211.12180380697,237.639377647013,1086.24877595728,26.2516170225945,9.82742188729343,20144.2218997116,138.208379313028,770.924260115804,101.626259864039,38.2702426509134,110.156316331176,101.409841621315
A_semana_s6a10,E2_lab_nublado,10,2081.90805297469,145.83317012753,1936.07488284716,391.770505655932,1640.83357387209,44.0480594872341,5.25591395927387,3468.18438179712,301.874413622024,265.178450836193,144.998917310828,76.460309384931,238.069178668184,145.090387263579
A_semana_s6a10,E2_lab_nublado,6,1714.39312363844,191.105702384727,1523.28742125371,324.910529023243,1351.63760859601,26.1725715208548,11.6724144981977,2958.98908687831,259.532632528232,184.37194567783,151.384550573458,62.3090995824994,205.437633131422,151.991652070718
A_semana_s6a10,E2_lab_nublado,7,2068.81537140998,222.621651399216,1846.19372001076,417.394545725819,1594.73220469282,38.8255759185043,17.863045072732,2463.995156001,315.207877471565,180.796925347615,152.361531061488,73.3755197964934,245.344486669944,153.846825158461
A_semana_s6a10,E2_lab_nublado,8,1889.33960980041,205.295483555597,1684.04412624481,391.569628078283,1440.78202574564,39.8566460987493,17.1313098775751,3238.80694484986,289.119903119768,239.050816874554,153.026963294498,73.808294518658,220.839912177757,153.277809017271
A_semana_s6a10,E2_lab_nublado,9,2654.20734651071,79.748438989076,2574.45890752164,537.87170602621,2044.44272341513,60.2849962362523,11.607920832941,4140.80773290555,399.356886759149,314.912974012761,150.461827062665,76.0510978353953,306.989931812327,150.158245225632
A_semana_s6a10,E3_finde_soleado,10,895.135116091558,160.640239741639,734.494876349919,154.289837557643,714.256826545662,20.7322665483923,5.85618543974633,21085.7283426719,107.741381401637,958.673108521453,120.363260769022,45.4654965169666,86.0045579593603,120.411250915587
A_semana_s6a10,E3_finde_soleado,6,322.025871562599,48.2874067628611,273.738464799738,87.5359924647697,225.519261164871,5.94326979752949,3.02734813541171,21018.1287694167,37.5508348575996,979.561593831775,116.608130506372,46.6055567828249,26.5197724922214,117.594268246709
