soc_llegada,soc_salida
32.0,80.0
52.0,92.0
27.0,80.0
37.0,79.0
53.0,85.0
33.0,74.0
45.0,98.0
15.0,66.0
12.0,46.0
22.0,67.0
8.0,100.0
44.0,80.0
70.0,94.0
58.9899999999999,86.0
32.0,86.0
13.0,60.0
7.0,100.0
44.0,80.0
5.0,100.0
46.9899999999999,81.0
11.0,100.0
16.0,90.0
56.0,89.0
42.0,90.0
34.0,80.0
41.0,90.0
43.0,77.0
38.0,90.0
37.0,80.0
39.0,90.0
17.0,80.0
17.0,84.0
28.0,71.99
39.0,89.0
38.0,91.0
4.0,79.0
22.0,75.0
13.0,85.0
12.0,79.0
49.0,89.0
33.0,78.0
24.0,82.0
85.0,100.0
48.0,89.0
73.0,100.0
1.0,100.0
1.0,98.0
53.0,90.0
66.0,89.0
46.0,75.0
37.0,84.0
23.0,84.0
5.0,70.0
31.0,81.0
39.0,85.0
85.0,98.0
46.9899999999999,80.0
32.0,56.0
27.0,80.0
81.0,99.0
6.0,80.0
53.0,82.0
22.0,88.0
26.0,81.0
44.0,85.0
32.0,80.0
6.0,100.0
27.0,79.0
16.0,73.0
46.0,81.0
54.0,91.0
62.0,96.0
39.0,82.0
40.0,100.0
17.99,90.0
45.0,84.0
37.0,80.0
34.0,73.0
50.0,89.0
58.9899999999999,93.0
42.0,73.0
46.0,96.0
7.0,100.0
80.0,100.0
28.0,84.0
24.0,80.0
13.0,75.0
58.9899999999999,90.0
43.0,100.0
53.9992541024366,85.0
37.9997516761857,80.0
22.0,85.0
42.0,93.99
27.0,86.0
27.0,84.0
42.9997513674788,80.0
27.0,80.0
63.9992531740104,90.0
25.0,81.0
19.0,73.0
32.0,76.0
30.0,75.0
27.0,95.0
28.9999999999999,82.0
15.0,68.0
73.0,99.0
31.0,80.0
21.0,69.0
26.0,81.0
35.99,79.0
54.0,89.0
87.0,100.0
37.0,86.0
35.0,76.0
49.0,91.0
46.0,82.99
50.0,86.0
2.0,70.0
22.0,79.0
37.0,90.0
51.0,90.0
3.0,100.0
46.9899999999999,80.0
23.0,75.0
1.0,100.0
44.0,93.0
26.0,80.0
21.0,79.0
26.0,79.0
50.0,86.0
25.0,66.0
14.0,74.0
62.0,93.99
21.0,68.0
51.0,82.99
20.0,57.9999999999999
61.0,90.0
19.0,82.0
56.0,80.0
34.0,80.0
19.0,84.0
14.0,81.0
1.0,100.0
1.0,100.0
15.0,88.0
13.0,75.0
28.998,88.0
1.0,98.0
22.0,76.0
19.0,78.0
68.99,90.0
16.0,80.0
35.99,90.0
25.0,89.0
30.0,85.0
30.0,80.0
22.0,84.0
44.0,89.0
50.0,87.0
68.99,95.0
46.0,91.0
21.0,81.0
1.0,100.0
25.0,85.0
28.0,80.0
35.0,90.0
5.0,100.0
24.0,80.0
56.9899999999999,82.0
65.0,100.0
24.0,86.0
1.0,64.0
28.9999999999999,62.0
35.0,80.0
14.0,73.0
20.0,56.9899999999999
27.0,77.0
25.0,87.0
57.9999999999999,97.0
33.0,93.0
39.0,77.0
50.0,100.0
54.0,100.0
37.0,90.0
33.0,90.0
35.99,90.0
13.0,78.0
33.0,91.0
23.0,93.99
24.0,93.99
23.0,80.0
30.0,84.0
16.0,80.0
20.0,80.0
1.0,98.0
46.9899999999999,80.0
6.0,68.99
22.0,79.0
44.0,66.0
68.99,90.0
25.0,80.0
38.0,89.0
32.0,100.0
38.0,82.99
28.0,87.0
83.0,95.0
46.0,97.0
62.0,89.0
30.0,81.0
7.0,100.0
16.0,91.0
22.0,65.0
7.0,70.0
53.0,89.0
57.9999999999999,91.0
28.998,78.0
1.0,100.0
8.0,100.0
23.0,82.0
51.0,89.0
46.9899999999999,91.0
50.0,77.0
28.9999999999999,80.0
71.99,100.0
44.0,96.0
7.0,78.0
31.0,80.0
28.0,68.99
42.0,82.99
10.0,90.0
34.0,90.0
39.0,95.0
14.0,87.0
38.0,89.0
34.0,80.0
38.0,79.0
28.0,71.0
51.0,100.0
68.99,95.0
25.0,93.0
26.0,76.0
25.0,81.0
32.0,85.0
20.0,87.0
24.0,95.0
11.0,71.99
49.0,79.0
22.0,75.0
50.0,96.0
30.0,87.0
34.0,80.0
41.0,90.0
35.0,100.0
37.0,80.0
77.0,100.0
38.0,81.0
56.9899999999999,93.99
50.0,80.0
37.0,67.0
15.0,52.0
24.0,63.0
30.0,90.0
14.0,76.0
6.0,88.0
46.0,95.0
16.0,70.0
40.0,93.99
16.0,90.0
30.0,100.0
19.0,89.0
40.0,87.0
11.0,82.0
53.0,90.0
55.0,93.99
10.0,82.99
11.0,89.0
28.998,79.0
14.0,79.0
44.0,74.0
32.0,89.0
58.9899999999999,90.0
42.0,89.0
13.0,80.0
53.0,99.0
44.0,84.0
48.0,93.0
56.9899999999999,88.0
11.0,67.0
42.0,99.0
10.0,68.0
3.0,66.0
28.9999999999999,67.0
17.99,82.0
22.0,91.0
17.99,84.0
26.0,90.0
23.0,90.0
13.0,80.0
21.0,90.0
6.0,82.99
46.9899999999999,89.0
59.0,90.0
27.0,74.0
56.0,90.0
23.0,75.0
8.99,89.0
12.0,91.0
40.0,91.0
25.0,87.0
38.0,89.0
50.0,89.0
34.0,89.0
8.0,82.99
64.0,93.0
41.0,89.0
70.0,99.0
37.0,92.0
32.9997397188964,90.0
20.0,89.0
27.0,86.0
30.0,82.99
37.0,81.0
17.0,90.0
7.0,80.0
38.0,84.0
4.0,62.0
26.0,80.0
16.0,68.0
23.0,84.997619047619
39.0,80.0
2.0,80.0
30.0,89.0
54.0,80.0
20.0,80.0
42.0,100.0
51.0,98.0
14.0,91.0
46.0,91.0
14.0,86.0
22.0,79.9987546699875
20.0,85.0
28.0,91.0
27.0,91.0
46.0,93.99
21.0,73.0
5.0,56.0
28.0,91.0
21.0,80.0
17.99,82.0
16.0,80.0
44.0,99.0
35.0,80.0
66.0,96.0
42.0,82.0
6.0,75.0
12.0,82.99
51.0,54.0
84.0,93.99
28.0,89.0
17.99,75.0
52.0,99.0
33.0,83.0
27.0,85.0
8.99,63.0
42.0,100.0
26.0,80.0
38.0,100.0
45.0,89.0
49.0,82.0
42.0,64.0
12.0,73.0
30.0,80.0
20.0,61.0
51.0,98.0
49.0,98.0
35.99,90.0
47.9997513674788,87.9997513674788
12.0,88.0
49.0,94.0
17.0,96.0
24.0,80.0
24.0,90.0
57.9999999999999,90.0
46.0,93.99
11.0,84.0
35.0,79.0
26.0,77.0
49.0,92.0
27.0,89.0
26.0,86.0
35.0,81.0
46.9899999999999,78.0
17.0,82.0
15.0,89.0
70.0,100.0
26.0,92.0
15.0,80.0
5.0,81.0
34.0,87.0
52.0,100.0
37.0,82.0
27.0,80.0
40.9956140350877,67.0
41.0,84.0
21.0,89.0
30.0,89.0
26.0,57.9999999999999
14.0,77.0
81.0,99.0
41.0,100.0
22.0,92.0
68.0,92.0
31.0,77.0
46.9899999999999,97.0
28.998,89.0
52.0,90.0
25.0,71.99
1.0,100.0
22.0,86.0
37.0,89.0
7.0,80.0
31.0,89.0
28.0,80.0
50.0,90.0
54.0,88.0
17.99,87.0
45.0,90.0
8.0,74.0
73.0,99.0
10.0,80.0
14.0,87.0
63.0,100.0
16.0,80.0
32.0,80.0
17.99,82.0
11.0,80.0
67.0,95.0
64.0,98.0
11.0,82.0
50.0,64.0
46.0,100.0
13.0,93.0
21.0,82.0
56.0,90.0
45.0,90.0
17.0,75.0
33.0,100.0
53.0,87.0
20.0,82.0
19.0,90.0
12.0,89.0
25.0,80.0
46.9899999999999,82.0
13.0,90.0
27.0,80.0
53.0,90.0
46.9899999999999,91.0
24.0,92.0
23.0,82.0
68.99,99.0
24.0,88.0
40.0,90.0
41.0,91.0
43.0,80.0
43.0,90.0
24.0,89.0
51.0,88.0
46.0,85.0
30.0,89.0
28.9999999999999,67.0
21.0,90.0
32.0,92.0
13.0,97.0
11.0,85.0
38.0,87.0
30.0,90.0
21.0,89.0
10.0,71.99
15.0,80.0
31.0,89.0
32.0,80.0
45.0,100.0
24.0,99.0
5.0,92.0
45.0,99.0
42.0,95.0
16.0,88.0
38.0,83.0
